path,size_bytes,last_commit_date,ref_count,ref_locations,reason_guess
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/pyarrow/libarrow_substrait.so.2100,5347160,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/pillow.libs/libavif-01e67780.so.16.3.0,5142057,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/microsoft-promptwizard/venv/lib/python3.12/site-packages/pillow.libs/libavif-01e67780.so.16.3.0,5142057,never,0,,legacy_dir
attic/TO_REMOVE_20250808/microsoft-promptwizard/venv/lib/python3.12/site-packages/pyarrow/libarrow_substrait.so.1500,5045632,never,0,,legacy_dir
attic/TO_REMOVE_20250808/nextjs-app/venv/lib/python3.13/site-packages/pyarrow/lib.cpython-313-x86_64-linux-gnu.so,4906336,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/pyarrow/lib.cpython-313-x86_64-linux-gnu.so,4906336,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/fontTools/misc/bezierTools.cpython-313-x86_64-linux-gnu.so,4811280,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/microsoft-promptwizard/venv/lib/python3.12/site-packages/pydantic_core/_pydantic_core.cpython-312-x86_64-linux-gnu.so,4776920,never,0,,legacy_dir
attic/TO_REMOVE_20250808/platform/venv/lib/python3.13/site-packages/pydantic_core/_pydantic_core.cpython-313-x86_64-linux-gnu.so,4772792,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/pydantic_core/_pydantic_core.cpython-313-x86_64-linux-gnu.so,4772792,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/library/venv/lib/python3.13/site-packages/pydantic_core/_pydantic_core.cpython-313-x86_64-linux-gnu.so,4772792,never,0,,unknown_orphan
platform/venv_test/lib/python3.13/site-packages/pydantic_core/_pydantic_core.cpython-313-x86_64-linux-gnu.so,4772792,never,0,,test_artifact
attic/TO_REMOVE_20250808/platform/venv/lib/python3.13/site-packages/30fcd23745efe32ce681__mypyc.cpython-313-x86_64-linux-gnu.so,4635128,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/30fcd23745efe32ce681__mypyc.cpython-313-x86_64-linux-gnu.so,4635128,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/cli/venv/lib/python3.13/site-packages/30fcd23745efe32ce681__mypyc.cpython-313-x86_64-linux-gnu.so,4635128,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/library/venv/lib/python3.13/site-packages/30fcd23745efe32ce681__mypyc.cpython-313-x86_64-linux-gnu.so,4635128,never,0,,unknown_orphan
platform/venv_test/lib/python3.13/site-packages/30fcd23745efe32ce681__mypyc.cpython-313-x86_64-linux-gnu.so,4635128,never,0,,test_artifact
